city,temp
Albuquerque,285.6178561
Atlanta,289.7726731
Beersheba,291.5219862
Boston,283.7798228
Charlotte,288.8974827
Chicago,283.3505728
Dallas,292.3758721
Denver,282.8394066
Detroit,282.971668
Eilat,296.497276
Haifa,295.2663983
Houston,294.2042679
Indianapolis,284.7719042
Jacksonville,294.33338
Jerusalem,293.1842533
"Kansas City",286.6416633
"Las Vegas",292.424887
"Los Angeles",290.8461161
Miami,298.1812741
Minneapolis,280.7004894
Montreal,280.3430101
Nahariyya,294.0948034
Nashville,288.5663055
"New York",285.4004056
Philadelphia,285.3741682
Phoenix,295.4933578
Pittsburgh,284.0539394
Portland,284.9929292
"Saint Louis",286.6759467
"San Antonio",293.7856461
"San Diego",290.2150442
"San Francisco",288.1558205
Seattle,284.4096262
"Tel Aviv District",294.512307
Toronto,281.9412408
Vancouver,283.8626537
