city,windspeed
Albuquerque,2.763685385
Atlanta,2.23048705
Beersheba,1.989338731
Boston,3.380889242
Charlotte,2.381626925
Chicago,3.759325555
Dallas,3.631919737
Denver,2.438995823
Detroit,3.16503138
Eilat,3.452576415
Haifa,3.299406181
Houston,2.962585635
Indianapolis,3.225360205
Jacksonville,2.831742243
Jerusalem,1.880046785
"Kansas City",3.430765491
"Las Vegas",2.463482028
"Los Angeles",1.219548307
Miami,3.23649287
Minneapolis,3.382232044
Montreal,3.831896933
Nahariyya,3.024292044
Nashville,2.424022099
"New York",3.210953666
Philadelphia,2.643212305
Phoenix,1.909062783
Pittsburgh,2.511402811
Portland,2.050738089
"Saint Louis",3.048196765
"San Antonio",3.022208963
"San Diego",1.751458499
"San Francisco",2.786702355
Seattle,2.118116326
"Tel Aviv District",2.722305945
Toronto,3.830769911
Vancouver,2.432745513
