Longitude,temp,humidity
-106.651,285.6179,45.18616
-84.388,289.7727,70.84676
34.7913,291.522,70.60486
-71.0598,283.7798,77.3753
-80.8431,288.8975,70.18919
-87.65,283.3506,74.43492
-96.8067,292.3759,64.32376
-104.985,282.8394,53.02256
-83.0458,282.9717,72.47757
34.94821,296.4973,53.15518
34.98917,295.2664,79.80038
-95.3633,294.2043,74.06559
-86.158,284.7719,72.38386
-81.6556,294.3334,76.43948
35.21633,293.1843,68.73229
-94.5786,286.6417,66.62974
-115.137,292.4249,31.93783
-118.244,290.8461,62.77384
-80.1937,298.1813,75.51236
-93.2638,280.7005,71.24417
-73.5878,280.343,71.86154
35.09409,294.0948,78.60676
-86.7844,288.5663,68.24034
-74.006,285.4004,66.64242
-75.1638,285.3742,68.01777
-112.074,295.4934,37.48442
-79.9959,284.0539,70.36429
-122.676,284.9929,74.69762
-90.1979,286.6759,70.59876
-98.4936,293.7856,67.7008
-117.157,290.215,67.78481
-122.419,288.1558,76.87504
-122.332,284.4096,77.15904
34.8,294.5123,66.86151
-79.4163,281.9412,76.36191
-123.119,283.8627,81.89548
