Vancouver,temp
,
mist,284.63
broken clouds,284.6290413
broken clouds,284.6269979
broken clouds,284.6249545
broken clouds,284.6229111
broken clouds,284.6208678
broken clouds,284.6188244
broken clouds,284.616781
broken clouds,284.6147376
broken clouds,284.6126942
broken clouds,284.6106508
broken clouds,284.6086074
broken clouds,284.606564
broken clouds,284.6045207
broken clouds,284.6024773
broken clouds,284.6004339
broken clouds,284.5983905
broken clouds,284.5963471
broken clouds,284.5943037
broken clouds,284.5922603
broken clouds,284.5902169
broken clouds,284.5881736
broken clouds,284.5861302
broken clouds,284.5840868
broken clouds,284.5820434
sky is clear,284.58
sky is clear,284.85
sky is clear,286.26
sky is clear,286.77
sky is clear,288.95
sky is clear,289.51
sky is clear,289.67
sky is clear,290.29
sky is clear,291.09
light rain,291.18
sky is clear,291.26
sky is clear,290.62
sky is clear,288.11
sky is clear,287.21
sky is clear,286.6
sky is clear,285.96
sky is clear,285.63
sky is clear,284.71
sky is clear,284.78
sky is clear,284.24
sky is clear,284.17
sky is clear,283.25
sky is clear,283.29
sky is clear,283.35
sky is clear,282.53
sky is clear,282.83
sky is clear,283.13
sky is clear,283.43
sky is clear,283.92
sky is clear,285.06
sky is clear,286.23
sky is clear,286.73
few clouds,287.455
sky is clear,288.18
sky is clear,288.24
sky is clear,286.5
sky is clear,285.39
sky is clear,284.26
sky is clear,283.46
sky is clear,283.74
sky is clear,282.71
sky is clear,282.44
sky is clear,281.56
sky is clear,281.42
sky is clear,281.3
sky is clear,280.97
sky is clear,280.92
sky is clear,280.91
sky is clear,280.04
sky is clear,280.15
sky is clear,282.78
sky is clear,284.38
sky is clear,286.8
sky is clear,288.56
sky is clear,289.26
broken clouds,289.36
sky is clear,290.15
sky is clear,289.66
sky is clear,288.87
sky is clear,287.18
sky is clear,285.06
sky is clear,283.93
sky is clear,283.34
sky is clear,282.68
sky is clear,281.81
sky is clear,281.23
sky is clear,280.65
sky is clear,280.325
sky is clear,280
sky is clear,279.86
sky is clear,279.54
sky is clear,278.57
sky is clear,278.51
sky is clear,278.91
sky is clear,281.86
sky is clear,282.78
sky is clear,287.56
sky is clear,288.12
sky is clear,289.1
sky is clear,289.53
sky is clear,290.09
sky is clear,290.67
sky is clear,290.41
sky is clear,288.83
sky is clear,286.9
sky is clear,285.3
sky is clear,284.4
sky is clear,283.59
sky is clear,282.59
sky is clear,282.29
sky is clear,281.45
sky is clear,280.61
sky is clear,281.03
sky is clear,280.97
sky is clear,280.64
sky is clear,280.18
sky is clear,279.64
sky is clear,279.54
sky is clear,281.37
sky is clear,284.48
sky is clear,287.38
sky is clear,289.94
sky is clear,290.24
sky is clear,290.61
sky is clear,291.65
sky is clear,291.78
sky is clear,290.94
sky is clear,289.96
sky is clear,287.37
sky is clear,286.74
sky is clear,284.45
sky is clear,284.12
sky is clear,283.71
sky is clear,283.3
sky is clear,282.89
sky is clear,282.49
sky is clear,281.61
sky is clear,282.07
sky is clear,281.16
sky is clear,280.46
sky is clear,280.29
sky is clear,280.76
few clouds,283.47
sky is clear,285.62
sky is clear,286.44
sky is clear,288.93
sky is clear,290.04
sky is clear,291.3
sky is clear,293.09
sky is clear,293.09
sky is clear,291.2
sky is clear,289.65
sky is clear,287.12
sky is clear,286.42
sky is clear,285.37
sky is clear,284.99
sky is clear,284.2
sky is clear,283.72
sky is clear,283.58
sky is clear,283.2
sky is clear,282.87
sky is clear,282.49
sky is clear,282.21
sky is clear,282.14
sky is clear,280.88
sky is clear,280.71
sky is clear,284.02
sky is clear,285.34
sky is clear,289.06
sky is clear,289.74
sky is clear,289.69
sky is clear,290.41
sky is clear,291.43
sky is clear,292.2
sky is clear,291.34
sky is clear,289.68
sky is clear,287.4
sky is clear,286.39
sky is clear,285.49
sky is clear,285.25
sky is clear,284.79
sky is clear,283.79
sky is clear,283.265
sky is clear,282.74
sky is clear,282.62
sky is clear,282.27
sky is clear,282.2
sky is clear,281.55
fog,281.29
fog,281.08
sky is clear,282.63
sky is clear,285.65
sky is clear,287.92
sky is clear,289.75
sky is clear,291.38
sky is clear,291.1
sky is clear,291.73
sky is clear,291.67
sky is clear,291.94
