city,windspeed
Average of Boston,3.380889242
Average of Chicago,3.759325555
Average of Dallas,3.631919737
Average of Detroit,3.16503138
Average of Eilat,3.452576415
Average of Haifa,3.299406181
Average of Indianapolis,3.225360205
Average of Kansas City,3.430765491
Average of Miami,3.23649287
Average of Minneapolis,3.382232044
Average of Montreal,3.831896933
Average of Nahariyya,3.024292044
Average of New York,3.210953666
Average of Saint Louis,3.048196765
Average of San Antonio,3.022208963
Average of Toronto,3.830769911
