weather,direction,speed
,,
mist,0,0
broken clouds,6,0
broken clouds,20,0
broken clouds,34,0
broken clouds,47,0
broken clouds,61,0
broken clouds,75,0
broken clouds,89,0
broken clouds,102,0
broken clouds,116,0
broken clouds,130,0
broken clouds,144,0
broken clouds,157,0
broken clouds,171,0
broken clouds,185,0
broken clouds,199,0
broken clouds,213,0
broken clouds,226,0
broken clouds,240,0
broken clouds,254,0
broken clouds,268,0
broken clouds,281,0
broken clouds,295,0
broken clouds,309,0
broken clouds,323,0
sky is clear,337,0
sky is clear,346,0
sky is clear,157,0
sky is clear,45,0
sky is clear,140,0
sky is clear,157,0
sky is clear,157,0
sky is clear,157,0
sky is clear,157,0
light rain,110,0
sky is clear,337,0
sky is clear,337,0
sky is clear,0,0
sky is clear,130,0
sky is clear,202,1
sky is clear,40,0
sky is clear,320,11
sky is clear,20,0
sky is clear,202,0
sky is clear,225,0
sky is clear,180,0
sky is clear,45,0
sky is clear,110,0
sky is clear,180,0
sky is clear,180,0
sky is clear,172,0
sky is clear,164,0
sky is clear,157,1
sky is clear,157,0
sky is clear,202,0
sky is clear,45,0
sky is clear,157,0
few clouds,168,0
sky is clear,180,0
sky is clear,274,0
sky is clear,240,0
sky is clear,10,1
sky is clear,10,0
sky is clear,40,1
sky is clear,10,1
sky is clear,30,0
sky is clear,22,0
sky is clear,22,1
sky is clear,22,3
sky is clear,274,0
sky is clear,22,3
sky is clear,22,1
sky is clear,22,3
sky is clear,22,0
sky is clear,274,0
sky is clear,0,0
sky is clear,22,0
sky is clear,22,0
sky is clear,22,0
sky is clear,270,0
broken clouds,0,0
sky is clear,200,1
sky is clear,240,0
sky is clear,190,0
sky is clear,280,0
sky is clear,20,1
sky is clear,360,2
sky is clear,20,1
sky is clear,10,1
sky is clear,10,1
sky is clear,15,1
sky is clear,20,0
sky is clear,190,0
sky is clear,360,0
sky is clear,22,0
sky is clear,45,0
sky is clear,0,0
sky is clear,22,1
sky is clear,0,0
sky is clear,0,0
sky is clear,274,0
sky is clear,202,0
sky is clear,274,0
sky is clear,337,1
sky is clear,337,0
sky is clear,225,0
sky is clear,337,1
sky is clear,270,0
sky is clear,180,0
sky is clear,22,1
sky is clear,22,1
sky is clear,45,1
sky is clear,22,0
sky is clear,22,1
sky is clear,22,0
sky is clear,11,0
sky is clear,0,0
sky is clear,40,0
sky is clear,10,0
sky is clear,180,0
sky is clear,22,0
sky is clear,22,0
sky is clear,180,0
sky is clear,0,0
sky is clear,337,1
sky is clear,22,0
sky is clear,337,0
sky is clear,337,0
sky is clear,337,2
sky is clear,337,2
sky is clear,240,0
sky is clear,0,0
sky is clear,337,0
sky is clear,10,2
sky is clear,360,1
sky is clear,20,1
sky is clear,22,2
sky is clear,18,1
sky is clear,14,1
sky is clear,10,1
sky is clear,0,0
sky is clear,45,0
sky is clear,30,0
sky is clear,40,0
sky is clear,40,0
sky is clear,0,0
sky is clear,22,0
few clouds,0,0
sky is clear,220,0
sky is clear,274,0
sky is clear,0,0
sky is clear,274,0
sky is clear,274,0
sky is clear,200,0
sky is clear,240,0
sky is clear,0,0
sky is clear,0,0
sky is clear,40,0
sky is clear,330,4
sky is clear,30,0
sky is clear,0,0
sky is clear,10,1
sky is clear,30,0
sky is clear,22,0
sky is clear,10,1
sky is clear,22,0
sky is clear,10,0
sky is clear,22,0
