weather,avg(direction),avg(speed)
,0,0
"few clouds",224.32023305084743,1.728813559322034
"sky is clear",205.15650383561626,2.208219178082192
"overcast clouds",207.6721540709303,2.197674418604651
"broken clouds",231.887004444,2.5733333333333333
"scattered clouds",221.39872474696975,1.8181818181818181
"light rain",243.16859236083337,1.9416666666666667
"light intensity shower rain",188.71153846153842,2.769230769230769
"heavy intensity rain",213.8845924595238,3.0476190476190474
"moderate rain",221.8358354545455,2.581818181818182
mist,205.05319148936167,1.8085106382978724
fog,225.92958333333328,2.2083333333333335
"proximity shower rain",216.3775,1.5
"thunderstorm with heavy rain",287.15,0
"very heavy rain",284.039,2.5
