Vancouver,Max of Vancouver,,Vancouver
,,,
0,284.63,,0
6,284.6290413,,6
20,284.6269979,,20
34,284.6249545,,34
47,284.6229111,,47
61,284.6208678,,61
75,284.6188244,,75
89,284.616781,,89
102,284.6147376,,102
116,284.6126942,,116
130,284.6106508,,130
144,284.6086074,,144
157,284.606564,,157
171,284.6045207,,171
185,284.6024773,,185
199,284.6004339,,199
213,284.5983905,,213
226,284.5963471,,226
240,284.5943037,,240
254,284.5922603,,254
268,284.5902169,,268
281,284.5881736,,281
295,284.5861302,,295
309,284.5840868,,309
323,284.5820434,,323
337,284.58,,337
346,284.85,,346
157,286.26,,157
45,286.77,,45
140,288.95,,140
157,289.51,,157
157,289.67,,157
157,290.29,,157
157,291.09,,157
110,291.18,,110
337,291.26,,337
337,290.62,,337
0,288.11,,0
130,287.21,,130
202,286.6,,202
40,285.96,,40
320,285.63,,320
20,284.71,,20
202,284.78,,202
225,284.24,,225
180,284.17,,180
45,283.25,,45
110,283.29,,110
180,283.35,,180
180,282.53,,180
172,282.83,,172
164,283.13,,164
157,283.43,,157
157,283.92,,157
202,285.06,,202
45,286.23,,45
157,286.73,,157
168,287.455,,168
180,288.18,,180
274,288.24,,274
240,286.5,,240
10,285.39,,10
10,284.26,,10
40,283.46,,40
10,283.74,,10
30,282.71,,30
22,282.44,,22
22,281.56,,22
22,281.42,,22
274,281.3,,274
22,280.97,,22
22,280.92,,22
22,280.91,,22
22,280.04,,22
274,280.15,,274
0,282.78,,0
22,284.38,,22
22,286.8,,22
22,288.56,,22
270,289.26,,270
0,289.36,,0
200,290.15,,200
240,289.66,,240
190,288.87,,190
280,287.18,,280
20,285.06,,20
360,283.93,,360
20,283.34,,20
10,282.68,,10
10,281.81,,10
15,281.23,,15
20,280.65,,20
190,280.325,,190
360,280,,360
22,279.86,,22
45,279.54,,45
0,278.57,,0
22,278.51,,22
0,278.91,,0
0,281.86,,0
274,282.78,,274
202,287.56,,202
274,288.12,,274
337,289.1,,337
337,289.53,,337
225,290.09,,225
337,290.67,,337
270,290.41,,270
180,288.83,,180
22,286.9,,22
22,285.3,,22
45,284.4,,45
22,283.59,,22
22,282.59,,22
22,282.29,,22
11,281.45,,11
0,280.61,,0
40,281.03,,40
10,280.97,,10
180,280.64,,180
22,280.18,,22
22,279.64,,22
180,279.54,,180
0,281.37,,0
337,284.48,,337
22,287.38,,22
337,289.94,,337
337,290.24,,337
337,290.61,,337
337,291.65,,337
240,291.78,,240
0,290.94,,0
337,289.96,,337
10,287.37,,10
360,286.74,,360
20,284.45,,20
22,284.12,,22
18,283.71,,18
14,283.3,,14
10,282.89,,10
0,282.49,,0
45,281.61,,45
30,282.07,,30
40,281.16,,40
40,280.46,,40
0,280.29,,0
22,280.76,,22
0,283.47,,0
220,285.62,,220
274,286.44,,274
0,288.93,,0
274,290.04,,274
274,291.3,,274
200,293.09,,200
240,293.09,,240
0,291.2,,0
0,289.65,,0
40,287.12,,40
330,286.42,,330
30,285.37,,30
0,284.99,,0
10,284.2,,10
30,283.72,,30
22,283.58,,22
10,283.2,,10
22,282.87,,22
10,282.49,,10
22,282.21,,22
22,282.14,,22
22,280.88,,22
22,280.71,,22
0,284.02,,0
274,285.34,,274
210,289.06,,210
274,289.74,,274
274,289.69,,274
274,290.41,,274
230,291.43,,230
200,292.2,,200
0,291.34,,0
0,289.68,,0
30,287.4,,30
20,286.39,,20
10,285.49,,10
360,285.25,,360
360,284.79,,360
10,283.79,,10
5,283.265,,5
0,282.74,,0
0,282.62,,0
20,282.27,,20
22,282.2,,22
0,281.55,,0
30,281.29,,30
40,281.08,,40
22,282.63,,22
250,285.65,,250
240,287.92,,240
290,289.75,,290
250,291.38,,250
300,291.1,,300
260,291.73,,260
200,291.67,,200
290,291.94,,290
0,290.11,,0
0,287.51,,0
10,286.33,,10
80,285.48,,80
50,284.52,,50
90,284.09,,90
30,283.85,,30
0,283.71,,0
40,283.2,,40
80,282.69,,80
120,282.18,,120
30,282.01,,30
0,281.53,,0
110,281.27,,110
120,281.74,,120
100,282.13,,100
0,283.77,,0
130,283.97,,130
130,285.22,,130
130,286.55,,130
140,287.99,,140
166,288.045,,166
192,288.1,,192
192,288.1,,192
192,288.1,,192
