city,temp,region
Albuquerque,285.6178561,northern
Atlanta,289.7726731,northern
Beersheba,291.5219862,northern
Boston,283.7798228,northern
Charlotte,288.8974827,northern
Chicago,283.3505728,northern
Dallas,292.3758721,northern
Denver,282.8394066,northern
Detroit,282.971668,northern
Eilat,296.497276,southern
Haifa,295.2663983,northern
Houston,294.2042679,southern
Indianapolis,284.7719042,northern
Jacksonville,294.33338,northern
Jerusalem,293.1842533,northern
"Kansas City",286.6416633,northern
"Las Vegas",292.424887,northern
"Los Angeles",290.8461161,northern
Miami,298.1812741,southern
Minneapolis,280.7004894,northern
Montreal,280.3430101,northern
Nahariyya,294.0948034,northern
Nashville,288.5663055,northern
"New York",285.4004056,northern
Philadelphia,285.3741682,northern
Phoenix,295.4933578,northern
Pittsburgh,284.0539394,northern
Portland,284.9929292,northern
"Saint Louis",286.6759467,northern
"San Antonio",293.7856461,southern
"San Diego",290.2150442,northern
"San Francisco",288.1558205,northern
Seattle,284.4096262,northern
"Tel Aviv District",294.512307,northern
Toronto,281.9412408,northern
Vancouver,283.8626537,northern
